AssetPath,Scene,PrefabGuid,HierarchyPath,WorldPosition,LocalPosition,InferredType,ExistingLight,ExistingEmissiveRenderer,ExistingSwitch,InferredCircuit,Classification,Confidence,LightPlacementApplied,ManualReviewRequired,ManualReviewReason
"Assets/Game/Bootstrap/Bootstrap.unity","Bootstrap","","Game Composition Root/LightingGameplayBindings/LightSwitch_living-room","157.553;2.457;-1035.576","157.553;2.457;-1035.576","DomesticIncandescent","False","False","True","grid.building.dcde1097","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/Bootstrap/Bootstrap.unity","Bootstrap","","Game Composition Root/LightingGameplayBindings/LightSwitch_bedroom-parents","165.779;2.457;-1029.734","165.779;2.457;-1029.734","DomesticIncandescent","False","False","True","grid.building.dcde1097","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/Bootstrap/Bootstrap.unity","Bootstrap","","Game Composition Root/LightingGameplayBindings/LightSwitch_kitchen","158.889;2.444;-1032.006","158.889;2.444;-1032.006","DomesticIncandescent","False","False","True","grid.building.dcde1097","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/Bootstrap/Bootstrap.unity","Bootstrap","","Game Composition Root/LightingGameplayBindings/LightSwitch_garage","155.078;2.455;-1033.571","155.078;2.455;-1033.571","DomesticIncandescent","False","False","True","grid.building.dcde1097","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/Bootstrap/Bootstrap.unity","Bootstrap","","Game Composition Root/LightingGameplayBindings/LightSwitch_bedroom-boy","159.433;2.457;-1029.734","159.433;2.457;-1029.734","DomesticIncandescent","False","False","True","grid.building.dcde1097","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/Bootstrap/Bootstrap.unity","Bootstrap","","Game Composition Root/LightingGameplayBindings/LightSwitch_bathroom","157.583;2.457;-1038.064","157.583;2.457;-1038.064","DomesticIncandescent","False","False","True","grid.building.dcde1097","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/Bootstrap/Bootstrap.unity","Bootstrap","","Game Composition Root/LightingGameplayBindings/LightSwitch_hallway","158.434;2.457;-1029.977","158.434;2.457;-1029.977","DomesticIncandescent","False","False","True","grid.building.dcde1097","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/Development/WeatherLab/Scenes/WeatherLab.unity","WeatherLab","","WeatherLab_Root/Props/StationaryVehicleProxy/Headlight_1","2.35;0.75;-5.88","-0.65;0.75;2.12","VehicleLowBeam","True","False","False","vehicle.electrical.lighting","ExistingLight+SemanticAndMaterialEvidence","0.90","True","False",""
"Assets/Game/Development/WeatherLab/Scenes/WeatherLab.unity","WeatherLab","","WeatherLab_Root/Props/StationaryVehicleProxy/Headlight_2","3.65;0.75;-5.88","0.65;0.75;2.12","VehicleLowBeam","True","False","False","vehicle.electrical.lighting","ExistingLight+SemanticAndMaterialEvidence","0.90","True","False",""
"Assets/Game/Development/WeatherLab/Scenes/WeatherLab.unity","WeatherLab","","WeatherLab_Root/CaptureAnchors/W07A-CAP-HEADLIGHTS-01","3;1.2;-2","3;1.2;-2","VehicleLowBeam","False","False","False","vehicle.electrical.lighting","SemanticAndMaterialCandidate","0.37","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/Development/WeatherLab/Scenes/WeatherLab.unity","WeatherLab","","WeatherLab_Root/LightingFixtures","0;0;0","0;0;0","DomesticIncandescent","False","False","False","grid.building.a68504bb","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/Development/WeatherLab/Scenes/WeatherLab.unity","WeatherLab","","WeatherLab_Root/LightingFixtures/InteriorPractical","-10;2.55;10","-10;2.55;10","DomesticIncandescent","True","False","False","grid.building.a68504bb","ExistingLight+SemanticAndMaterialEvidence","0.78","True","False",""
"Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Scenes/World_DonorBaseline_Canonical.unity","World_DonorBaseline_Canonical","","DONOR_WORLD_BASELINE_TEMPORARY_DIRECT_IMPORT/SANITIZED_STATIC_RENDER_GEOMETRY/BuildingExterior · lamp cord 1 · YARD / LIGHT [24633]","200.138;3.894;-1080.72","200.138;3.894;-1080.72","ExteriorBuilding","False","False","False","grid.building.d733fc06","SemanticAndMaterialCandidate","0.37","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Scenes/World_DonorBaseline_Canonical.unity","World_DonorBaseline_Canonical","","DONOR_WORLD_BASELINE_TEMPORARY_DIRECT_IMPORT/SANITIZED_STATIC_RENDER_GEOMETRY/BuildingExterior · light switch button · YARD / light switch [19784]","157.553;2.457;-1035.576","157.553;2.457;-1035.576","ExteriorBuilding","False","False","True","grid.building.d733fc06","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Scenes/World_DonorBaseline_Canonical.unity","World_DonorBaseline_Canonical","","DONOR_WORLD_BASELINE_TEMPORARY_DIRECT_IMPORT/SANITIZED_STATIC_RENDER_GEOMETRY/BuildingExterior · light switch · STORE / switch door [34992]","-1380.562;5.912;142.693","-1380.562;5.912;142.693","ExteriorBuilding","False","False","True","grid.building.d733fc06","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Scenes/World_DonorBaseline_Canonical.unity","World_DonorBaseline_Canonical","","DONOR_WORLD_BASELINE_TEMPORARY_DIRECT_IMPORT/SANITIZED_STATIC_RENDER_GEOMETRY/BuildingExterior · toiletlamp · PERAJARVI / WC [5803]","-1120.635;4.439;41.022","-1120.635;4.439;41.022","ExteriorBuilding","False","False","False","grid.building.d733fc06","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Scenes/World_DonorBaseline_Canonical.unity","World_DonorBaseline_Canonical","","DONOR_WORLD_BASELINE_TEMPORARY_DIRECT_IMPORT/SANITIZED_STATIC_RENDER_GEOMETRY/UtilityPole · lightpole · MAP / LOD [4473]","-1484.64;5.111;-1479.475","-1484.64;5.111;-1479.475","DomesticIncandescent","False","False","False","grid.building.d733fc06","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Scenes/World_DonorBaseline_Canonical.unity","World_DonorBaseline_Canonical","","DONOR_WORLD_BASELINE_TEMPORARY_DIRECT_IMPORT/SANITIZED_STATIC_RENDER_GEOMETRY/BuildingExterior · office lamp 10 · STORE / Lamps [12417]","-1381.223;7.777;142.172","-1381.223;7.777;142.172","ExteriorBuilding","False","False","False","grid.building.d733fc06","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
"Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Scenes/World_DonorBaseline_Canonical.unity","World_DonorBaseline_Canonical","","DONOR_WORLD_BASELINE_TEMPORARY_DIRECT_IMPORT/SANITIZED_STATIC_RENDER_GEOMETRY/BuildingInterior · light switch button · YARD / light switch [6002]","165.779;2.457;-1029.734","165.779;2.457;-1029.734","DomesticIncandescent","False","False","True","grid.building.d733fc06","SemanticAndMaterialCandidate","0.31","False","True","No existing Light component; automatic placement would guess physical origin and aiming."
