ColliderStableId,EntityStableId,SourceHierarchyPath,ObjectName,SemanticCategory,ColliderType,SourceEnabled,SourceIsTrigger,SourceConvex,RuntimeConvex,SourceHasRigidbodyInAncestry,MeshGuid,MeshFileId,EffectiveActive,Disposition,Included,OwnershipPolicy,CollisionLayer,PhysicsMaterial,Reason,Classification,SourceRevisionId,PolicyVersion
0075307fdeef1690df364da84a11a6f4,ed6736caae30d7cda40a991a35b7bda9,YARD/Building/MIDDLEROOM/washingmachine,washingmachine,BuildingExterior,BoxCollider,1,0,0,0,0,,0,1,IncludedStaticWorldSolid,1,CellLegacy,WorldSolid,Assets/Game/World/Content/Physics/WorldSolidZeroBounce.physicMaterial,Reviewed static-world solid collider from the frozen M04A1 source table.,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,08A1.6
0077aef2909956cc007957bdda56c706,84fc4473e119c0809278213f2d4e9830,STORE/VideoPoker/GameLogic/Buttons/Hold5,Hold5,ColliderOnly,SphereCollider,1,1,0,0,1,,0,1,ExcludedTrigger,0,Excluded,,,Trigger volumes are not imported by the solid pass.,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,08A1.6
0085180aa6be4f91d4df43837e666fbb,e9fd1c1f1ffe9428d0bb2f67285b6c6a,REPAIRSHOP/LOD/Garbage/Tractor/valmet_tire_front,valmet_tire_front,BuildingExterior,BoxCollider,1,0,0,0,0,,0,1,IncludedStaticWorldSolid,1,CellLegacy,WorldSolid,Assets/Game/World/Content/Physics/WorldSolidZeroBounce.physicMaterial,Reviewed static-world solid collider from the frozen M04A1 source table.,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,08A1.6
00edfa6f3de7023111e9feb2a81e5cb6,f614228df4e121ee50d8e5d7d1618cda,STORE/LOD/GFX_Store/SlotMachine/LockButtos/LockRoll3,LockRoll3,ColliderOnly,SphereCollider,1,1,0,0,0,,0,1,ExcludedTrigger,0,Excluded,,,Trigger volumes are not imported by the solid pass.,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,08A1.6
0114bd18f6b2f2b8dfc0b44ccfe6a8ec,296ecdf3548032e23de7218148e51db3,STORE/TeimoInShop/Pivot/TeimoCollider,TeimoCollider,Landmark,CapsuleCollider,1,0,0,0,1,,0,1,ExcludedActorOrPlayer,0,Excluded,,,"Actor, NPC, skeleton or player-owned collision belongs to a later project-owned gameplay presenter.",TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,08A1.6
0130becabc88396f9cd065e2154c1867,8d2d20230e7a0eb7d2dbb21d3c5cf860,JAIL/MESh/wcbowl,wcbowl,BuildingExterior,BoxCollider,1,0,0,0,0,,0,0,ExcludedInactive,0,Excluded,,,The collider owner is inactive through the frozen donor hierarchy.,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,08A1.6
015276bc92aea97c863518e79d9996c4,94973f2d925df67d7f5cfae58a9e94ee,WATERFACILITY/LOD/garage_doors_open 1/glass,glass,BuildingExterior,MeshCollider,1,0,0,0,0,3b2335d1f61c88d46a614f0b5c941a5b,4300000,0,ExcludedDoorRequiresBinding,0,Excluded,,,A door cannot become a static blocker before a project-owned hinge/interaction binding is authored.,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,08A1.6
0194b4037f4ec01c7e07ca04e573e7bd,f05ab19c5dd53f089f8fdb25c3b7c3bd,DANCEHALL/Functions/FIGHTER/Fighter/Pivot/Char/skeleton/pelvis/spine_middle/spine_upper/collar_right/shoulder_right/arm_right/hand_right/FighterFist,FighterFist,ColliderOnly,SphereCollider,1,0,0,0,1,,0,0,ExcludedInactive,0,Excluded,,,The collider owner is inactive through the frozen donor hierarchy.,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,08A1.6
01973865688327082abaa6d0d75e2b2f,a1244c409eb6360ec8d6b0450482853d,JAIL/RemotePivot/tv remote control(itemx),tv remote control(itemx),ColliderOnly,BoxCollider,1,0,0,0,1,,0,0,ExcludedInactive,0,Excluded,,,The collider owner is inactive through the frozen donor hierarchy.,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,08A1.6
01c3402f3d3f59b0464454ea0147d68f,60947e1e97028638935c61fb29fc3a76,PERAJARVI/HouseWhite/StaticCarPOLSA/Collider,Collider,ColliderOnly,MeshCollider,1,0,1,0,0,9f08dd8e962b3b34f8957432d4aabd39,4300000,1,IncludedStaticWorldSolid,1,CellLegacy,WorldSolid,Assets/Game/World/Content/Physics/WorldSolidZeroBounce.physicMaterial,Reviewed static-world solid collider from the frozen M04A1 source table.,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,08A1.6
