"schema_version","fixture_version","cell_id","camera_id","category","required_camera_state","framing_instruction","donor_position","donor_rotation","eye_height_m","fov_degrees","aspect_ratio","condition","canonical_evidence_id","supplementary_evidence_id","status","uncertainty"
"1","M06B.1","cell_0_-2","M06B-CELL-0-M2-CAM-01","ApproachMainRoad","Standing","Follow the home-yard path toward the shore and frame the approach to the pier entrance with terrain contact visible.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","No donor shoreline frame exists."
"1","M06B.1","cell_0_-2","M06B-CELL-0-M2-CAM-02","PrimaryLandmark","Standing","From the shore frame the pier as the primary landmark with shoreline context on both sides.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","No donor pier frame exists."
"1","M06B.1","cell_0_-2","M06B-CELL-0-M2-CAM-03","ReverseView","Standing","Stand at the end of the pier and look back toward the yard and home direction.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","No reverse donor view exists."
"1","M06B.1","cell_0_-2","M06B-CELL-0-M2-CAM-04","FrontFacade","Standing","From the pier entrance frame directly along the pier axis without wide-angle exaggeration.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","No axial donor view exists."
"1","M06B.1","cell_0_-2","M06B-CELL-0-M2-CAM-05","CharacteristicObliqueFacade","Standing","From the shore use a characteristic oblique angle showing deck, pontoons or supports and shoreline profile in one frame.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","No player-height oblique donor view exists."
"1","M06B.1","cell_0_-2","M06B-CELL-0-M2-CAM-06","SideRearSilhouette","Standing","Frame the side silhouette of the pier and its supports together with the bank slope and waterline.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","No side donor view exists."
"1","M06B.1","cell_0_-2","M06B-CELL-0-M2-CAM-07","RoadLevelSightline","Standing","At normal eye height look along the shoreline and approach path toward the pier.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","Shoreline path and sightline are not established."
"1","M06B.1","cell_0_-2","M06B-CELL-0-M2-CAM-08","VehicleSeatApproach","VehicleDriverSeat","Stop at the closest normally drivable point and frame the remaining approach toward the shore; do not force the car into water or inaccessible terrain.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","Closest legal vehicle position and seat height are unknown."
"1","M06B.1","cell_0_-2","M06B-CELL-0-M2-CAM-09","DistantTreeFieldShoreSilhouette","StandingDistant","From a reachable distant point frame the shoreline, water and tree-line silhouette around the home pier.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","M06B-EVD-002","PendingCapture","The supplied rainy aerial context has unproven cell assignment and is not canonical."
"1","M06B.1","cell_0_-2","M06B-CELL-0-M2-CAM-10","UserMismatchView","Standing","Use a wide standing view that includes the pier, transition toward the home and the three hedge segments or yard boundary.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","Exact mismatch viewpoint is not yet captured."
