ComponentId,TriggerGameObjectId,TriggerTransformId,TriggerName,TriggerHierarchyPath,HandChild,ActivateThisGameObjectId,ActivateThisHierarchyPath,ActivationRoots,RequiredGameObjectId,RequiredHierarchyPath,Required1GameObjectId,Required1HierarchyPath,ThisPartGameObjectId,ThisPartName,DetachPartGameObjectId,DetachPartHierarchyPath,ParentGameObjectId,ParentHierarchyPath,BoltsGameObjectId,BoltsHierarchyPath,BoltReferenceStatus,ReferencesBolts,ReferencesBolted
111654,26814,62868,"TriggerWheelFL_New","SATSUMA(557kg, 248)/FL/AckerFL/wheelFL/TriggerWheelFL_New","",0,"","",0,"",24557,"Database/DatabaseBody/Discbrake_FL",0,"",0,"",0,"",0,"",EvidenceBackedNullDonorObjectException,true,false
110620,23076,59133,"TriggerWheelFR_New","SATSUMA(557kg, 248)/FR/AckerFR/wheelFR/TriggerWheelFR_New","",0,"","",0,"",24047,"Database/DatabaseBody/Discbrake_FR",0,"",0,"",0,"",0,"",EvidenceBackedNullDonorObjectException,true,false
110008,20992,57053,"TriggerWheelRL_New","SATSUMA(557kg, 248)/RL/wheelRL/TriggerWheelRL_New","",0,"","",0,"",29640,"Database/DatabaseBody/Drumbrake_RL",0,"",0,"",0,"",0,"",EvidenceBackedNullDonorObjectException,true,false
105625,5444,41500,"TriggerWheelRR_New","SATSUMA(557kg, 248)/RR/wheelRR/TriggerWheelRR_New","",0,"","",0,"",2003,"Database/DatabaseBody/Drumbrake_RR",0,"",0,"",0,"",0,"",EvidenceBackedNullDonorObjectException,true,false
104917,2803,38857,"Trigger_motor1","SATSUMA(557kg, 248)/Chassis/sub frame(xxxxx)/_Motor/Trigger_motor1","",0,"","",0,"",0,"",0,"",0,"",0,"",0,"",NotReferenced,false,true
111211,25187,61244,"Trigger_motor2","SATSUMA(557kg, 248)/Chassis/sub frame(xxxxx)/_Motor/Trigger_motor2","",0,"","",0,"",0,"",0,"",0,"",0,"",0,"",NotReferenced,false,true
107768,12829,48877,"Trigger_motor3","SATSUMA(557kg, 248)/Chassis/sub frame(xxxxx)/_Motor/Trigger_motor3","",0,"","",0,"",0,"",0,"",0,"",0,"",0,"",NotReferenced,false,true
106171,7343,43404,"trigger_amplifier","SATSUMA(557kg, 248)/Interior/trigger_amplifier","amplifier(Clone)",0,"","",0,"",0,"",11599,"Amplifier",0,"",12783,"SATSUMA(557kg, 248)/Interior/pivot_amplifier",0,"",EvidenceBackedNullDonorObjectException,true,false
106416,8280,44333,"trigger_antenna_left","SATSUMA(557kg, 248)/MiscParts/trigger_antenna_left","antenna(Clone)",33905,"SATSUMA(557kg, 248)/MiscParts/antenna(leftx)","ActivateThis=33905:SATSUMA(557kg, 248)/MiscParts/antenna(leftx)",0,"",0,"",11859,"AntennaLeft",0,"",0,"",0,"",NotReferenced,false,false
108683,16149,52211,"trigger_antenna_right","SATSUMA(557kg, 248)/MiscParts/trigger_antenna_right","antenna(Clone)",12385,"SATSUMA(557kg, 248)/MiscParts/antenna(right)","ActivateThis=12385:SATSUMA(557kg, 248)/MiscParts/antenna(right)",0,"",0,"",12113,"AntennaRight",0,"",0,"",0,"",NotReferenced,false,false
109150,17816,53876,"trigger_battery","SATSUMA(557kg, 248)/MiscParts/trigger_battery","battery(Clone)",0,"","",0,"",0,"",0,"",0,"",0,"",0,"",NotReferenced,false,true
