PartDefinitionId,PartRootTransformId,ComponentId,GameObjectId,HierarchyPath,FsmName,Actions
"vehicle.satsuma.part.bootlid",57097,105480,4956,"CARPARTS/PartsCar/bootlid(Clone)/Handles","Use","HutongGames.PlayMaker.Actions.AddTorque;HutongGames.PlayMaker.Actions.BoolTest;HutongGames.PlayMaker.Actions.FloatCompare;HutongGames.PlayMaker.Actions.GetMouseButtonDown;HutongGames.PlayMaker.Actions.GetMouseButtonUp;HutongGames.PlayMaker.Actions.GetRotation;HutongGames.PlayMaker.Actions.MousePickEvent;HutongGames.PlayMaker.Actions.SetBoolValue;HutongGames.PlayMaker.Actions.SetFloatValue;HutongGames.PlayMaker.Actions.SetHingeJointLimits"
"vehicle.satsuma.part.bootlid",57097,105663,5542,"CARPARTS/PartsCar/bootlid(Clone)/trigger_turbo","Assembly","HutongGames.PlayMaker.Actions.ActivateGameObject;HutongGames.PlayMaker.Actions.DestroyObject;HutongGames.PlayMaker.Actions.FloatCompare;HutongGames.PlayMaker.Actions.GameObjectIsNull;HutongGames.PlayMaker.Actions.GetChild;HutongGames.PlayMaker.Actions.GetDistance;HutongGames.PlayMaker.Actions.GetFsmGameObject;HutongGames.PlayMaker.Actions.GetMouseButtonDown;HutongGames.PlayMaker.Actions.SetBoolValue;HutongGames.PlayMaker.Actions.SetFsmBool;HutongGames.PlayMaker.Actions.Wait"
"vehicle.satsuma.part.bootlid",57097,106766,9367,"CARPARTS/PartsCar/bootlid(Clone)/hooks/BoltPM","Screw","HutongGames.PlayMaker.Actions.AddFsmFloat;HutongGames.PlayMaker.Actions.ArrayListGet;HutongGames.PlayMaker.Actions.ArrayListSet;HutongGames.PlayMaker.Actions.ConvertStringToInt;HutongGames.PlayMaker.Actions.GetChild;HutongGames.PlayMaker.Actions.GetName;HutongGames.PlayMaker.Actions.GetStringRight;HutongGames.PlayMaker.Actions.IntAdd;HutongGames.PlayMaker.Actions.IntClamp;HutongGames.PlayMaker.Actions.IntCompare;HutongGames.PlayMaker.Actions.SetFsmInt;HutongGames.PlayMaker.Actions.SetPosition;HutongGames.PlayMaker.Actions.SetProperty;HutongGames.PlayMaker.Actions.SetRotation;HutongGames.PlayMaker.Actions.Wait"
"vehicle.satsuma.part.bootlid",57097,107767,12821,"CARPARTS/PartsCar/bootlid(Clone)/turbo(xxxxx)","Removal","HutongGames.PlayMaker.Actions.ActivateGameObject;HutongGames.PlayMaker.Actions.BoolTest;HutongGames.PlayMaker.Actions.CreateObject;HutongGames.PlayMaker.Actions.GetMouseButtonDown;HutongGames.PlayMaker.Actions.MousePickEvent;HutongGames.PlayMaker.Actions.SetBoolValue;HutongGames.PlayMaker.Actions.SetFsmBool;HutongGames.PlayMaker.Actions.SetFsmGameObject"
"vehicle.satsuma.part.bootlid",57097,108111,13876,"CARPARTS/PartsCar/bootlid(Clone)/hooks/BoltPM","Screw","HutongGames.PlayMaker.Actions.AddFsmFloat;HutongGames.PlayMaker.Actions.ArrayListGet;HutongGames.PlayMaker.Actions.ArrayListSet;HutongGames.PlayMaker.Actions.ConvertStringToInt;HutongGames.PlayMaker.Actions.GetChild;HutongGames.PlayMaker.Actions.GetName;HutongGames.PlayMaker.Actions.GetStringRight;HutongGames.PlayMaker.Actions.IntAdd;HutongGames.PlayMaker.Actions.IntClamp;HutongGames.PlayMaker.Actions.IntCompare;HutongGames.PlayMaker.Actions.SetFsmInt;HutongGames.PlayMaker.Actions.SetPosition;HutongGames.PlayMaker.Actions.SetProperty;HutongGames.PlayMaker.Actions.SetRotation;HutongGames.PlayMaker.Actions.Wait"
"vehicle.satsuma.part.bootlid",57097,109673,19819,"CARPARTS/PartsCar/bootlid(Clone)/hooks/BoltPM","Screw","HutongGames.PlayMaker.Actions.AddFsmFloat;HutongGames.PlayMaker.Actions.ArrayListGet;HutongGames.PlayMaker.Actions.ArrayListSet;HutongGames.PlayMaker.Actions.ConvertStringToInt;HutongGames.PlayMaker.Actions.GetChild;HutongGames.PlayMaker.Actions.GetName;HutongGames.PlayMaker.Actions.GetStringRight;HutongGames.PlayMaker.Actions.IntAdd;HutongGames.PlayMaker.Actions.IntClamp;HutongGames.PlayMaker.Actions.IntCompare;HutongGames.PlayMaker.Actions.SetFsmInt;HutongGames.PlayMaker.Actions.SetPosition;HutongGames.PlayMaker.Actions.SetProperty;HutongGames.PlayMaker.Actions.SetRotation;HutongGames.PlayMaker.Actions.Wait"
"vehicle.satsuma.part.bootlid",57097,109898,20623,"CARPARTS/PartsCar/bootlid(Clone)/trigger_regplate_rear","Assembly","HutongGames.PlayMaker.Actions.ActivateGameObject;HutongGames.PlayMaker.Actions.DestroyObject;HutongGames.PlayMaker.Actions.GameObjectIsNull;HutongGames.PlayMaker.Actions.GetChild;HutongGames.PlayMaker.Actions.GetMouseButtonDown;HutongGames.PlayMaker.Actions.SetBoolValue;HutongGames.PlayMaker.Actions.SetFsmBool;HutongGames.PlayMaker.Actions.TriggerEvent;HutongGames.PlayMaker.Actions.Wait"
"vehicle.satsuma.part.bootlid",57097,110018,21036,"CARPARTS/PartsCar/bootlid(Clone)","Paint","HutongGames.PlayMaker.Actions.BuildString;HutongGames.PlayMaker.Actions.Exists;HutongGames.PlayMaker.Actions.GetName;HutongGames.PlayMaker.Actions.GetOwner;HutongGames.PlayMaker.Actions.GetProperty;HutongGames.PlayMaker.Actions.IntCompare;HutongGames.PlayMaker.Actions.LoadColor;HutongGames.PlayMaker.Actions.LoadInt;HutongGames.PlayMaker.Actions.SaveColor;HutongGames.PlayMaker.Actions.SaveInt;HutongGames.PlayMaker.Actions.SetFsmBool;HutongGames.PlayMaker.Actions.SetMaterial;HutongGames.PlayMaker.Actions.SetProperty;HutongGames.PlayMaker.Actions.Wait"
"vehicle.satsuma.part.bootlid",57097,110019,21036,"CARPARTS/PartsCar/bootlid(Clone)","",""
"vehicle.satsuma.part.bootlid",57097,110020,21036,"CARPARTS/PartsCar/bootlid(Clone)","BoltCheck","HutongGames.PlayMaker.Actions.ArrayListEasyLoad;HutongGames.PlayMaker.Actions.ArrayListEasySave;HutongGames.PlayMaker.Actions.BuildString;HutongGames.PlayMaker.Actions.Exists;HutongGames.PlayMaker.Actions.FloatCompare;HutongGames.PlayMaker.Actions.FloatOperator;HutongGames.PlayMaker.Actions.GetComponent;HutongGames.PlayMaker.Actions.GetName;HutongGames.PlayMaker.Actions.LoadFloat;HutongGames.PlayMaker.Actions.SaveFloat;HutongGames.PlayMaker.Actions.SetFsmBool;HutongGames.PlayMaker.Actions.SetProperty"
